,OverallQual,YearBuilt,YearRemodAdd,MasVnrArea,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea
162,7,2005,2005,226.0,1541,1541,1541,2,7,1,2005.0,2,532
163,4,1956,1956,0.0,882,882,882,1,4,0,,0,0
164,6,1926,2004,0.0,1149,1149,1616,2,5,0,1926.0,1,216
165,5,1940,1999,0.0,644,808,1355,2,6,0,,0,0
166,5,1955,1993,0.0,1617,1867,1867,1,7,3,1955.0,1,303
167,8,2007,2007,300.0,1582,1610,2161,1,8,1,2007.0,3,789
168,7,2004,2004,0.0,840,840,1720,2,7,1,2004.0,2,440
169,8,1981,1981,653.0,1686,1707,1707,2,6,1,1981.0,2,511
170,5,1941,1950,0.0,720,854,1382,1,7,0,1991.0,2,660
171,6,1960,1960,112.0,1080,1656,1656,1,7,2,1960.0,2,528
172,7,1987,1987,0.0,1064,1064,1767,2,5,1,1987.0,2,504
173,6,1961,1961,491.0,1362,1362,1362,1,6,1,1961.0,2,504
174,6,1986,1986,132.0,1606,1651,1651,2,7,1,1986.0,2,616
175,6,1950,2001,0.0,1202,2158,2158,2,7,1,1950.0,2,576
176,6,1988,1989,268.0,1151,1164,2060,2,8,1,1988.0,2,521
177,5,1958,1958,0.0,1052,1252,1920,2,8,1,1958.0,2,451
178,9,2008,2009,748.0,2216,2234,2234,2,9,1,2009.0,3,1166
179,5,1923,2006,0.0,968,968,968,1,5,0,1935.0,2,480
180,6,2000,2000,456.0,756,769,1525,2,5,1,2000.0,2,440
181,7,1920,1950,0.0,793,901,1802,1,9,1,1920.0,1,216
182,5,1957,2006,98.0,0,1340,1340,1,7,1,1957.0,1,252
183,7,2003,2003,0.0,1362,1362,2082,2,6,0,2003.0,2,484
184,5,1908,1991,0.0,504,936,1252,1,5,0,1986.0,2,576
185,10,1892,1993,0.0,1107,1518,3608,2,12,2,1993.0,3,840
186,7,1990,1991,0.0,1188,1217,1217,2,6,0,1990.0,2,497
187,5,1916,1987,0.0,660,808,1656,2,8,0,1916.0,1,180
188,5,1979,1979,275.0,1086,1224,1224,0,6,2,1979.0,2,528
189,8,2001,2002,0.0,1593,1593,1593,1,5,1,2001.0,2,682
190,8,1932,1994,0.0,853,1549,2727,2,10,2,1932.0,2,440
191,7,1972,2004,138.0,725,725,1479,1,7,0,1972.0,2,484
192,7,1999,1999,0.0,1431,1431,1431,2,6,0,1999.0,2,666
193,7,2004,2004,50.0,970,970,1709,2,7,0,2004.0,2,380
194,5,1972,1972,0.0,864,864,864,1,5,0,1989.0,1,352
195,6,1976,1976,0.0,855,855,1456,2,7,1,1976.0,2,440
196,7,2007,2007,205.0,1726,1726,1726,2,8,1,2007.0,3,786
197,8,1918,1990,0.0,1360,1360,3112,2,8,1,1918.0,2,795
198,6,1912,1950,0.0,755,929,2229,1,8,0,,0,0
199,8,2004,2005,262.0,1713,1713,1713,2,7,1,2004.0,3,856
200,4,2003,2004,0.0,1121,1121,1121,2,5,0,2003.0,2,440
201,6,1977,1977,0.0,1196,1279,1279,2,6,2,1980.0,2,473
202,6,1924,1950,0.0,617,865,1310,2,6,0,1924.0,1,398
203,6,2004,2004,205.0,848,848,848,1,3,1,2004.0,2,420
204,5,1947,1950,0.0,720,720,1284,1,5,0,1948.0,1,240
205,7,1990,1990,0.0,1424,1442,1442,2,5,0,1990.0,2,500
206,5,1962,1962,0.0,1140,1696,1696,1,8,1,1962.0,1,349
207,4,1960,1960,0.0,1100,1100,1100,1,6,1,1960.0,1,312
208,7,1988,1989,128.0,1157,1180,2062,2,7,1,1988.0,2,454
209,6,1964,1964,260.0,1092,1092,1092,1,6,0,1964.0,2,504
210,5,1925,1950,0.0,864,864,864,1,5,0,,0,0
211,6,2009,2009,0.0,1212,1212,1212,2,6,0,2009.0,2,460
212,7,2009,2009,0.0,900,932,1852,2,7,1,2009.0,2,644
213,5,1995,1995,0.0,990,990,990,1,5,0,1996.0,2,576
214,6,1977,1977,153.0,689,689,1392,1,6,0,1977.0,1,299
215,5,1957,1996,64.0,1070,1236,1236,1,6,1,1957.0,1,447
216,7,2004,2004,266.0,1436,1436,1436,2,8,0,2004.0,2,484
217,4,1925,1950,0.0,686,810,1328,1,8,0,1940.0,1,210
218,7,1939,2006,312.0,798,1137,1954,1,8,2,1939.0,2,431
219,7,2005,2006,16.0,1248,1248,1248,2,5,0,2005.0,2,438
220,7,2006,2006,0.0,1498,1498,1498,2,5,0,2006.0,2,675
221,6,2002,2002,0.0,1010,1010,2267,2,8,1,2002.0,2,390
222,6,1975,1975,0.0,713,811,1552,2,6,1,1975.0,2,434
223,4,1971,1971,0.0,864,864,864,1,4,0,1989.0,2,576
224,10,2003,2003,922.0,2392,2392,2392,2,8,1,2003.0,3,968
225,5,1971,1971,142.0,630,630,1302,2,6,0,1991.0,1,280
226,7,1995,1995,290.0,1203,1214,2520,2,9,1,1995.0,3,721
227,6,1970,1970,127.0,483,483,987,1,5,0,1987.0,1,280
228,5,1967,1967,0.0,912,912,912,1,5,1,1974.0,1,336
229,7,2005,2006,16.0,1373,1555,1555,2,7,1,2005.0,2,430
230,6,1959,1959,220.0,1194,1194,1194,1,6,0,1959.0,1,312
231,8,1995,1996,506.0,1462,1490,2794,2,9,1,1995.0,3,810
232,6,1972,1972,297.0,483,483,987,1,5,1,1972.0,1,288
233,5,1976,1976,0.0,894,894,894,1,5,0,1976.0,1,308
234,6,2002,2002,,860,860,1960,2,8,2,2002.0,2,440
235,6,1971,1971,604.0,483,483,987,1,5,0,1971.0,1,264
236,7,2004,2004,98.0,1414,1414,1414,2,6,0,2004.0,2,494
237,7,1993,2003,0.0,996,1014,1744,2,7,0,1993.0,2,457
238,8,2007,2007,254.0,1694,1694,1694,2,7,0,2007.0,3,818
239,6,1945,1950,0.0,735,798,1487,1,7,1,1949.0,1,220
240,8,2008,2008,36.0,1566,1566,1566,2,7,0,2008.0,2,750
241,5,1945,1997,0.0,686,866,866,1,4,0,,0,0
242,5,1900,1950,0.0,540,889,1440,1,6,0,1940.0,1,352
243,6,1980,1980,0.0,626,626,1217,1,6,1,1980.0,1,288
244,7,1994,2002,0.0,948,1222,2110,2,8,2,1994.0,2,463
245,7,1988,1988,102.0,1845,1872,1872,2,6,1,1988.0,2,604
246,6,1910,1950,0.0,1020,908,1928,2,9,0,1910.0,1,440
247,6,1954,1954,0.0,1367,1375,1375,1,5,1,1954.0,2,451
248,7,2003,2003,101.0,840,840,1668,2,8,0,2003.0,2,500
249,6,1958,2006,472.0,1444,1444,2144,2,7,2,1958.0,2,389
250,3,1940,1966,0.0,728,1306,1306,1,6,0,,0,0
251,8,2006,2007,481.0,1573,1625,1625,2,5,1,2006.0,2,538
252,6,2004,2004,0.0,798,798,1640,2,6,0,2004.0,2,520
253,6,1964,1991,108.0,1302,1302,1302,2,7,0,1964.0,1,309
254,5,1957,1957,0.0,1314,1314,1314,1,5,0,1957.0,1,294
255,7,1999,1999,302.0,975,1005,2291,2,8,1,1999.0,2,429
256,6,2003,2003,0.0,864,864,1728,2,7,0,2003.0,2,673
257,7,2006,2006,180.0,1604,1604,1604,2,8,1,2006.0,2,660
258,7,2001,2001,172.0,963,963,1792,2,7,1,2001.0,2,564
259,5,1956,1956,0.0,0,882,882,1,4,0,1956.0,1,308
260,6,1962,1962,399.0,1362,1382,1382,1,6,1,1991.0,2,884
261,8,2007,2007,270.0,1482,1482,2574,2,10,1,2007.0,3,868
262,6,1977,1995,46.0,506,1212,1212,1,6,1,1978.0,2,492
263,5,1929,2001,0.0,926,926,1316,1,6,0,1974.0,2,484
264,5,1925,2004,0.0,680,764,764,1,4,0,1965.0,2,504
265,6,1981,1981,210.0,1422,1422,1422,2,7,1,1981.0,2,576
266,6,1997,1997,0.0,802,802,1511,2,8,1,1997.0,2,413
267,5,1939,1997,0.0,720,1052,2192,2,8,1,1939.0,1,240
268,5,1940,1955,0.0,740,778,778,1,4,1,1966.0,1,924
269,6,1976,1976,174.0,1143,1113,1113,1,6,1,1987.0,1,504
270,8,2006,2006,0.0,1095,1095,1939,2,8,1,2006.0,3,1053
271,7,1954,2005,0.0,1385,1363,1363,1,5,2,1954.0,2,439
272,8,1999,2007,348.0,1152,1164,2270,2,9,1,1999.0,3,671
273,6,1958,1988,183.0,1240,1632,1632,2,6,1,1958.0,1,338
274,5,1982,1982,0.0,816,816,816,1,5,0,1982.0,1,264
275,7,1925,2007,0.0,952,952,1548,2,5,0,1978.0,2,672
276,7,2003,2003,0.0,1560,1560,1560,2,7,0,2003.0,2,573
277,4,1951,1951,0.0,864,864,864,1,4,0,1951.0,2,400
278,9,2006,2007,315.0,2121,2121,2121,2,8,1,2007.0,3,732
279,7,1977,1977,299.0,1160,1156,2022,2,8,1,1977.0,2,505
280,7,1989,1989,340.0,807,1175,1982,2,7,1,1989.0,2,575
281,6,2006,2006,68.0,1262,1262,1262,2,5,0,2006.0,2,572
282,7,2007,2008,166.0,1314,1314,1314,2,6,1,2008.0,2,626
283,8,2008,2009,72.0,1468,1468,1468,2,6,1,2008.0,3,898
284,6,1992,1992,0.0,1575,1575,1575,2,5,0,1992.0,2,529
285,7,2006,2007,0.0,625,625,1250,2,5,0,2006.0,2,528
286,6,1962,1981,0.0,912,1085,1734,1,7,1,1962.0,2,440
287,4,1971,1971,0.0,858,858,858,1,5,0,,0,0
288,5,1967,1967,31.0,882,900,900,1,5,0,1970.0,1,280
289,6,1915,2003,0.0,698,698,1396,1,7,0,2003.0,1,384
290,8,2006,2006,0.0,1079,1079,1919,2,8,1,2006.0,2,685
291,5,1912,2000,0.0,780,936,1716,2,9,0,,0,0
292,5,1949,2008,0.0,768,1148,1716,1,8,1,1949.0,1,281
293,7,1977,1994,34.0,795,1468,2263,2,9,1,1977.0,2,539
294,6,1953,1953,238.0,1416,1644,1644,1,7,2,1953.0,2,418
295,6,1984,1984,0.0,1003,1003,1003,1,6,0,1984.0,2,588
296,5,1950,1950,0.0,910,910,1558,1,6,0,1950.0,1,282
297,7,1997,1998,1600.0,975,975,1950,2,7,1,1997.0,2,576
298,6,1968,1968,365.0,702,1041,1743,1,7,1,1968.0,2,539
299,6,1950,2004,0.0,1092,1152,1152,1,6,1,1950.0,1,300
300,5,1953,1953,56.0,1165,1336,1336,1,5,2,1953.0,1,375
301,8,1998,1999,0.0,1028,1210,2452,2,9,1,1998.0,2,683
302,7,2001,2002,150.0,1541,1541,1541,2,6,1,2001.0,3,843
303,5,1972,1972,0.0,894,894,894,1,5,0,1975.0,2,552
304,7,1880,2002,0.0,1470,1675,3493,3,10,1,2003.0,3,870
305,8,2004,2005,246.0,2000,2000,2000,2,8,0,2004.0,3,888
306,7,1990,1991,246.0,700,1122,2243,2,8,1,1990.0,3,746
307,6,1920,1950,0.0,319,1035,1406,1,6,0,,0,0
308,4,1940,1950,0.0,861,861,861,1,4,0,1961.0,2,539
309,9,2003,2004,0.0,1896,1944,1944,2,8,3,2003.0,3,708
310,6,1993,1994,112.0,697,697,1501,2,6,1,1993.0,2,420
311,6,1948,2002,0.0,972,972,972,1,5,1,1948.0,1,240
312,5,1939,1950,0.0,793,793,1118,1,5,1,1939.0,2,410
313,7,1965,1965,0.0,2136,2036,2036,2,8,2,1965.0,2,513
314,7,1925,1990,0.0,728,832,1641,1,6,1,1925.0,2,546
315,7,2004,2005,0.0,716,716,1432,2,6,1,2004.0,2,432
316,7,1980,1980,278.0,845,1153,2353,2,10,1,1983.0,2,484
317,8,2006,2006,0.0,1088,1088,1959,2,8,1,2006.0,3,1025
318,7,1993,1993,256.0,1347,1372,2646,2,9,1,1993.0,3,656
319,7,1980,1980,225.0,1372,1472,1472,2,6,2,1980.0,2,588
320,9,2006,2006,370.0,1249,1249,2596,3,9,0,2006.0,3,840
321,8,2004,2004,388.0,1136,1136,2468,2,10,1,2004.0,3,872
322,7,1986,1987,172.0,1502,1553,2730,2,8,1,1987.0,2,576
323,3,1955,2005,0.0,1162,1163,1163,1,6,0,1955.0,1,220
324,7,1967,2007,300.0,710,1898,2978,2,11,1,1961.0,2,564
325,5,1941,1950,0.0,720,803,803,1,5,0,1941.0,2,360
326,8,1993,1993,0.0,1719,1719,1719,1,6,2,1993.0,2,473
327,6,1960,1960,175.0,1383,1383,1383,1,7,0,1960.0,1,292
328,6,1916,1994,0.0,844,1445,2134,2,10,0,1930.0,2,441
329,5,1920,1950,0.0,596,596,1192,1,6,0,1920.0,1,189
330,5,1964,1964,84.0,1728,1728,1728,2,10,0,2002.0,1,352
331,5,1958,1992,0.0,1056,1056,1056,1,6,0,1958.0,1,308
332,8,2003,2004,296.0,3206,1629,1629,2,7,1,2003.0,3,880
333,7,2004,2004,146.0,1358,1358,1358,2,6,1,2004.0,2,484
334,6,1998,1998,0.0,943,943,1638,2,7,2,1998.0,2,472
335,5,1965,1965,0.0,1499,1619,1786,2,7,2,1965.0,2,529
336,9,2005,2006,200.0,1922,1922,1922,2,8,1,2005.0,3,676
337,7,2002,2003,113.0,1536,1536,1536,2,7,0,2002.0,2,532
338,7,1984,1998,0.0,1208,1621,1621,2,8,0,1984.0,2,440
339,6,1958,1998,176.0,1215,1215,1215,1,6,0,1958.0,1,297
340,8,2002,2002,0.0,967,993,1908,2,9,0,2002.0,2,431
341,4,1950,1950,0.0,721,841,841,1,4,0,1950.0,1,294
342,3,1949,1950,340.0,0,1040,1040,2,6,0,1949.0,2,400
343,9,2005,2005,616.0,1684,1684,1684,2,6,1,2005.0,2,564
344,5,1976,1976,0.0,536,536,1112,1,4,0,1976.0,1,336
345,6,1939,1950,0.0,972,972,1577,1,6,1,1939.0,1,312
346,6,1960,1998,0.0,958,958,958,1,5,0,1960.0,1,301
347,6,1960,1960,30.0,1478,1478,1478,2,6,2,1960.0,2,498
348,7,2003,2004,106.0,764,764,1626,2,6,0,2003.0,2,474
349,9,2005,2006,870.0,1848,1848,2728,2,10,2,2006.0,3,706
350,9,2007,2007,362.0,1869,1869,1869,2,6,1,2007.0,2,617
351,7,1986,1986,0.0,1453,1453,1453,1,6,1,1986.0,2,445
352,5,1941,1950,0.0,616,616,1111,1,5,0,1941.0,1,200
353,6,1928,2003,0.0,624,720,720,1,5,0,2005.0,2,484
354,6,1940,2000,0.0,940,1192,1595,1,6,2,1940.0,1,240
355,6,1995,1995,0.0,1200,1200,1200,2,6,0,1995.0,2,521
356,6,1992,1992,106.0,1158,1167,1167,2,6,0,1992.0,2,400
357,5,1976,1976,0.0,1142,1142,1142,1,6,1,1976.0,2,528
358,5,1958,1958,120.0,1062,1352,1352,1,6,0,1958.0,1,288
359,8,1998,1998,530.0,1086,1086,1924,2,7,1,1998.0,2,592
360,6,1978,1978,0.0,888,912,912,1,5,1,1978.0,2,470
361,5,1940,1982,0.0,883,988,1505,1,8,0,1940.0,1,240
362,7,2003,2003,500.0,0,495,1922,3,7,1,2003.0,2,672
363,6,1972,2007,510.0,483,483,987,1,5,0,1972.0,1,264
364,6,1976,1976,120.0,796,790,1574,2,6,1,1976.0,2,566
365,5,1920,1997,0.0,672,672,1344,1,6,0,1964.0,1,468
366,6,1963,1963,247.0,1394,1394,1394,1,6,2,1963.0,2,514
367,6,1962,1962,305.0,1099,1431,1431,1,6,1,1962.0,1,296
368,5,1954,1954,200.0,1268,1268,1268,1,7,1,1954.0,1,244
369,5,1959,2006,0.0,1063,1287,1287,1,7,1,1997.0,2,576
370,6,2000,2000,0.0,953,953,1664,2,7,1,2000.0,2,460
371,4,1959,1959,0.0,0,1120,1588,2,7,1,1991.0,2,680
372,6,1984,1984,0.0,744,752,752,1,4,0,1984.0,1,264
373,5,1953,1953,0.0,608,1319,1319,1,5,0,1953.0,1,270
374,7,2003,2004,0.0,847,847,1928,2,8,1,2003.0,2,434
